10	R	2648
10	J	2663
9	R	2663
9	J	2678
8	R	2678
8	J	2693
7	R	2693
7	J	2708
6	R	2708
6	J	2723
10	R	2723
10	J	2738
9	R	2738
9	J	2753
8	R	2753
8	J	2768
7	R	2768
7	J	2783
6	R	2783
6	J	2798
10	R	2798
10	J	2813
9	R	2813
9	J	2828
8	R	2828
8	J	2843
7	R	2843
7	J	2858
6	R	2858
6	J	2873
10	R	2873
10	J	2888
9	R	2888
9	J	2903
8	R	2903
8	J	2918
7	R	2918
7	J	2933
6	R	2933
6	J	2948
10	R	2948
10	J	2963
9	R	2963
9	J	2978
8	R	2978
8	J	2993
7	R	2993
7	J	3008
6	R	3008
6	J	3023
10	R	3023
10	J	3038
9	R	3038
9	J	3053
8	R	3053
3	J	3068
8	J	3068
3	R	3068
3	W	3068
7	R	3068
7	J	3083
6	R	3083
6	J	3098
10	R	3098
10	J	3113
9	R	3113
9	J	3128
8	R	3128
8	J	3143
7	R	3143
7	J	3158
6	R	3158
6	J	3173
10	R	3173
10	J	3188
9	R	3188
9	J	3203
8	R	3203
8	J	3218
7	R	3218
7	J	3233
6	R	3233
6	J	3248
10	R	3248
10	J	3263
9	R	3263
9	J	3278
8	R	3278
8	J	3293
7	R	3293
7	J	3308
6	R	3308
6	J	3323
10	R	3323
10	J	3338
9	R	3338
9	J	3353
8	R	3353
8	J	3368
7	R	3368
7	J	3383
6	R	3383
6	J	3398
10	R	3398
10	J	3413
9	R	3413
9	J	3428
8	R	3428
8	J	3443
7	R	3443
7	J	3458
6	R	3458
6	J	3473
10	R	3473
10	J	3488
9	R	3488
9	J	3503
8	R	3503
8	J	3518
7	R	3518
7	J	3533
6	R	3533
6	J	3548
10	R	3548
10	J	3563
9	R	3563
9	J	3578
8	R	3578
8	J	3593
7	R	3593
7	J	3608
6	R	3608
6	J	3623
10	R	3623
10	J	3638
9	R	3638
9	J	3653
8	R	3653
8	J	3668
7	R	3668
7	J	3683
6	R	3683
6	J	3698
10	R	3698
10	J	3713
9	R	3713
9	J	3728
8	R	3728
8	J	3743
7	R	3743
7	J	3758
6	R	3758
6	J	3773
10	R	3773
10	J	3788
9	R	3788
9	J	3803
8	R	3803
8	J	3818
7	R	3818
7	J	3833
6	R	3833
6	J	3848
10	R	3848
10	J	3863
9	R	3863
9	J	3878
8	R	3878
8	J	3893
7	R	3893
7	J	3908
6	R	3908
6	J	3923
10	R	3923
10	J	3938
9	R	3938
9	J	3953
8	R	3953
8	J	3968
7	R	3968
7	J	3983
6	R	3983
6	J	3998
10	R	3998
10	J	4013
9	R	4013
9	J	4028
8	R	4028
8	J	4043
7	R	4043
7	J	4058
6	R	4058
6	J	4073
10	R	4073
10	J	4088
9	R	4088
9	J	4103
8	R	4103
8	J	4118
7	R	4118
7	J	4133
6	R	4133
6	J	4148
10	R	4148
10	J	4163
9	R	4163
9	J	4178
8	R	4178
8	J	4193
7	R	4193
7	J	4208
6	R	4208
6	J	4223
10	R	4223
10	W	4229
9	R	4229
9	W	4237
8	R	4237
8	W	4245
7	R	4245
7	W	4253
6	R	4253
6	W	4261
0	R	4261
10	J	4330
10	R	4330
10	W	4330
0	R	4330
9	J	4338
9	R	4338
9	W	4338
0	R	4338
8	J	4346
8	R	4346
8	W	4346
0	R	4346
7	J	4354
7	R	4354
7	W	4354
0	R	4354
6	J	4362
6	R	4362
6	W	4362
0	R	4362
10	J	4431
10	R	4431
5	J	4431
10	E	4431
5	R	4431
5	W	4432
0	R	4432
9	J	4439
9	R	4439
5	J	4439
9	E	4439
5	R	4440
5	W	4440
0	R	4440
8	J	4447
8	R	4447
5	J	4447
8	E	4447
5	R	4447
5	W	4448
0	R	4448
7	J	4455
7	R	4455
5	J	4455
7	E	4455
5	R	4455
5	W	4456
0	R	4456
6	J	4463
6	R	4463
5	J	4463
6	E	4463
5	R	4463
4	J	4464
5	E	4464
4	R	4464
11	N	4468
11	J	4468
4	W	4468
11	R	4468
4	J	4470
11	E	4471
4	R	4471
12	N	4479
12	J	4479
4	W	4479
12	R	4479
